budget_code,description,approved_amount,zone_text,budget_type
2103003001,طرح‌های ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,12000000000,01 منطقه يک,capital
21030031,نوسازی سازه های فرسوده راهنمای مسیر,0,01 منطقه يک,capital
2103003101,نوسازی سازه های فرسوده راهنمای مسیر,0,01 منطقه يک,capital
21030032,هوشمندسازی تقاطع ها,7230000000,01 منطقه يک,capital
2103003201,هوشمندسازی تقاطع ها,7230000000,01 منطقه يک,capital
21030033,نصب چراغ راهنمایی ترافیکی سطح منطقه,3200000000,01 منطقه يک,capital
2103003301,نصب چراغ راهنمایی ترافیکی سطح منطقه,3200000000,01 منطقه يک,capital
21030035,بند 14 و ماده 110 قانون شهرداری,8000000000,01 منطقه يک,capital
2103003501,بند 14 و ماده 110 قانون شهرداری,8000000000,01 منطقه يک,capital
21030036,حفر و تنقیه چاه‌های آب باران,8150000000,01 منطقه يک,capital
2103003601,حفر و تنقیه چاه‌های آب باران,8150000000,01 منطقه يک,capital
21030037,احداث آبراهه و کانیو,4200000000,01 منطقه يک,capital
2103003701,احداث آبراهه و کانیو,4200000000,01 منطقه يک,capital
21030039,واکاری درختان,5000000000,01 منطقه يک,capital
2103003901,واکاری درختان,5000000000,01 منطقه يک,capital
21030043,تهيه و نصب پلاك پستي_x000D_,15000000000,01 منطقه يک,capital
2103004301,تهيه و نصب پلاك پستي,15000000000,01 منطقه يک,capital
21030103,نصب نیوجرسی  بزرگراه شهید خرازی,0,01 منطقه يک,capital
2103010301,نصب نیوجرسی  بزرگراه شهید خرازی,0,01 منطقه يک,capital
21030104,احداث فضای شهری (فرهنگی) مجاور خانه شهید بهشتی,0,01 منطقه يک,capital
2103010401,احداث فضای شهری (فرهنگی) مجاور خانه شهید بهشتی,0,01 منطقه يک,capital
21030105,احداث پل صاحب الروضات,220000000000,01 منطقه يک,capital
2103010501,احداث پل صاحب الروضات,220000000000,01 منطقه يک,capital
21030110,اصلاح زیرسازی ایستگاه های مسیر اتوبوس تندرو در خیابان مسجد سید,30000000000,01 منطقه يک,capital
2103011001,اصلاح زیرسازی ایستگاه های مسیر اتوبوس تندرو در خیابان مسجد سید,30000000000,01 منطقه يک,capital
21030111,تکمیل خیابان صاحب روضات,0,01 منطقه يک,capital
2103011101,تکمیل خیابان صاحب روضات,0,01 منطقه يک,capital
21030153,احداث پارک محلی شاداب,20000000000,01 منطقه يک,capital
2103015301,احداث پارک محلی شاداب,20000000000,01 منطقه يک,capital
2103024602,احداث پل ارتباطی کوچه ویلا و خیابان صائب (جنب شهرداری منطقه 1),0,01 منطقه يک,capital
2103024603,پیاده رو سازی حاشیه زاینده رود حد فاصل پل مارنان تا پل فلزی,73000000000,01 منطقه يک,capital
2103024607,تعميرات و ساماندهي ساختمان اداري و مهمانسراي شهرداري,16000000000,01 منطقه يک,capital
2103024610,تکمیل روشنایی چهارباغ عباسی,0,01 منطقه يک,capital
2103024612,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر فرعی سطح منطقه,20000000000,01 منطقه يک,capital
2103024614,بهسازی پل های عابر پیاده مکانیزه,0,01 منطقه يک,capital
2103024617,تعميرات حمام علي قلي آقا,20000000000,01 منطقه يک,capital
2103024619,ممیزی املاک منطقه,20000000000,01 منطقه يک,capital
2103024623,مرمت خیابان چهارباغ عباسی مقابل ایستگاه قطار شهری(حدفاصل خیابان کوالالامپور تا مادی نیاصرم),0,01 منطقه يک,capital
2103024624,احداث نماد شهدای گمنام,0,01 منطقه يک,capital
2103024625,نرده گذاری اطراف مادی ها و رفع خطر موارد ایمنی در سطح منطقه,8000000000,01 منطقه يک,capital
2103024627,زیرگذر عابر پیاده در زیر پل آذر(اتصال پیاده رو در دو طرف پل ),0,01 منطقه يک,capital
2103024628,سرویس بهداشتی پیش ساخته بتنی جنب مادی نیاصرم و چهاراه تختی,0,01 منطقه يک,capital
2103024630,باززنده سازی سردهانه مادی نیاصرم (چهار باغ عباسی),0,01 منطقه يک,capital
2103024631,اجراي ديوار سبز در ساختمان خدمات شهري و شهرداري منطقه,0,01 منطقه يک,capital
2103024632,خريد گلدان شهری (فلاوربلاكس) و المان گل,0,01 منطقه يک,capital
2103024633,مرمت اضطراری پل مارنان,0,01 منطقه يک,capital
2103024634,بازسازی حمام تاریخی حاج کاظم,10000000,01 منطقه يک,capital
2103024635,خرید و نصب دیزل ژنراتور ساختمان خدمات شهری منطقه,0,01 منطقه يک,capital
2103024636,خرید (تعویض) ایستگاههای سیار بازیافت-خیابان میرداماد، آذر، فروغی,0,01 منطقه يک,capital
2103024643,تملك و بازگشايي گلوگاه هاي ترافیکی محلات سطح منطقه,0,01 منطقه يک,capital
2103024645,بازسازي و تعمیرات اساسي فرهنگسرای پرسش,15000000000,01 منطقه يک,capital
2103024646,پیاده روسازی پیرامون ساختمان ارگ جهان نما,0,01 منطقه يک,capital
2103024647,پیاده روسازی خیابان آتش(مقداد),0,01 منطقه يک,capital
2103024651,احداث سرویس بهداشتی ساختمان معاونت برنامه ریزی,0,01 منطقه يک,capital
2103024652,تملك و بازگشايي گلوگاه هاي بافت محلات سطح منطقه,294000000000,01 منطقه يک,capital
2103024653,احداث جایگاه شارژ خودرو برقی,0,01 منطقه يک,capital
2103024657,احداث محوطه چند منظوره خيابان آیت اله شمس آبادي,15000000000,01 منطقه يک,capital
2103024658,احداث گلخانه منطقه,30000000000,01 منطقه يک,capital
2103024702,تملك و بازگشايي گلوگاه های بافت در محور محله جامي,90000000000,01 منطقه يک,capital
2103024703,تملک و بازگشائی گلوگاه‌های بافت محله علیقلی آقا,0,01 منطقه يک,capital
2103024704,پیاده روسازی خیابان بیدآبادی از مسجدسید تا جامی,0,01 منطقه يک,capital
2103024705,اصلاح و بازسازی سنگ فرش اطراف و زیر بازارچه علیقلی آقا,0,01 منطقه يک,capital
2103024706,جدولگذاري خیابان مسجد سيد حدفاصل پنج رمضان تا آیت اله کاشاني,3000000000,01 منطقه يک,capital
2103024707,بهسازی پیاده روهای  ورودي گذرهاي خیابان فروغي,7000000000,01 منطقه يک,capital
2103024708,مبلمان ویژه پاتوق پنج رمضان,0,01 منطقه يک,capital
2103024709,جدولگذاري ضلع جنوبي خیابان فروغي  (حدفاصل ميدان جمهوري تا خ 5رمضان),4000000000,01 منطقه يک,capital
2103024711,بهسازی پياده رو خيابان خرم(حدفاصل ميدان جمهوري اسلامی تا سه راه صمديه),8000000000,01 منطقه يک,capital
2103024712,روکش اسفالت سطح محله علیقلی آقا,0,01 منطقه يک,capital
2103024713,پیاده رو سازی ضلع شمال خیابان مسجد سید حد فاصل پنج رمضان تا آیت اله کاشانی,18000000000,01 منطقه يک,capital
2103024714,ساماندهی نهر خیابان بیدآبادی (فدن)(محله علیقلی آقا),0,01 منطقه يک,capital
2103024715,ساماندهی مادی تیران ( با تاکید بر افزایش نفوذپذیری بستر),15000000000,01 منطقه يک,capital
2103024716,ساماندهی مادی جوی شاه کوچه شاداب (محله لنبان) -( با تاکید بر افزایش نفوذپذیری بستر),0,01 منطقه يک,capital
2103024717,ساماندهی مادی امامی (محله علیقلی آقا)-( با تاکید بر افزایش نفوذپذیری بستر),0,01 منطقه يک,capital
2103024719,ساماندهی نهر کوي شهید فولادگر ( با تاکید بر افزایش نفوذپذیری بستر),3000000000,01 منطقه يک,capital
2103024720,ساماندهی سقاخانه بازارچه علیقلی آقا,0,01 منطقه يک,capital
2103024721,ساماندهي نهر و پلهاي کوی شماره 15خیابان خرم ( با تاکید بر افزایش نفوذپذیری بستر),10000000000,01 منطقه يک,capital
2103024722,احداث محوطه چند منظوره خیابان خرم,4000000000,01 منطقه يک,capital
2103024724,ارتقا کیفی بوستان علیقلی آقا(محله علیقلی آقا),0,01 منطقه يک,capital
2103024726,تملك و احداث جلوخان مسجد لنبان,10000000,01 منطقه يک,capital
2103024728,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله علیقلی آقا,0,01 منطقه يک,capital
2103024729,تکمیل مبلمان شهری محور گردشگری علیقلی آقا(محله علیقلی آقا),0,01 منطقه يک,capital
2103024730,ساماندهی مادي کوي الوار(تيران) از خیابان جامي شرقي تا خیابان فروغي(محله جامی),0,01 منطقه يک,capital
2103024731,بهسازی پیاده روهای محور خیابان جامی شرقی (محله جامی),0,01 منطقه يک,capital
2103024736,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله خرم,2000000000,01 منطقه يک,capital
2103024737,تملك و بازگشایی گلوگاه های محله خرم,35000000000,01 منطقه يک,capital
2103024738,بهسازي  پياده رو خیابان ميرداماد (حدفاصل خیابان آیت اله کاشاني تا آیت اله زاهد),6000000000,01 منطقه يک,capital
2103024739,جدولگذاري ضلع جنوبي خیابان مسجد سيد (حدفاصل چهارراه هفتم محرم تا خ آیت اله زاهد),4000000000,01 منطقه يک,capital
2103024744,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر سطح محله بید آباد,2000000000,01 منطقه يک,capital
2103024745,تملك و بازگشایی گلوگاه های محله بیدآباد,30000000000,01 منطقه يک,capital
21040101,مشارکت در تملک یا احداث طرح چشمه های نورانی,0,01 منطقه يک,capital
2104010102,احداث فانوس نورانی بوستان کودک، جنب کانون پرورش فکری کودکان,0,01 منطقه يک,capital
22010001,خرید ماشین آلات و وسایل نقلیه,9500000000,01 منطقه يک,capital
2201000101,خرید ماشین آلات و وسایل نقلیه,9500000000,01 منطقه يک,capital
22020002,تجهیزات اداری,2790000000,01 منطقه يک,capital
2202000201,تجهیزات اداری,2790000000,01 منطقه يک,capital
22020003,تجهیزات رایانه ای,8640000000,01 منطقه يک,capital
2202000301,تجهیزات رایانه ای,8640000000,01 منطقه يک,capital
22030001,تجهیزات حفاظتی، ارتباطی و بی سیم,430000000,01 منطقه يک,capital
2203000101,تجهیزات حفاظتی، ارتباطی و بی سیم,430000000,01 منطقه يک,capital
22090001,لوازم فنی و تجهیزات,10680000000,01 منطقه يک,capital
2209000101,لوازم فنی و تجهیزات,8000000000,01 منطقه يک,capital
2209000105,تجهیزات پایگاه پشتیبانی و مدیریت بحران,2680000000,01 منطقه يک,capital
23010102,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,200000000000,01 منطقه يک,capital
2301010201,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,200000000000,01 منطقه يک,capital
26010110,تملك تجاری های ابتدای خیابان شهید كلاهدوزان,60000000000,01 منطقه يک,capital
2601011001,تملك تجاری های ابتدای خیابان شهید كلاهدوزان,60000000000,01 منطقه يک,capital
26010111,تملک قطارشهری,200000000000,01 منطقه يک,capital
2601011101,تملک قطارشهری,200000000000,01 منطقه يک,capital
26010115,تملک ادامه خیابان آیت الله زاهد-حدفاصل خیابان مسجد سید تا فروغی,650000000000,01 منطقه يک,capital
2601011501,تملک ادامه خیابان آیت الله زاهد حدفاصل خیابان مسجد سید تا فروغی,650000000000,01 منطقه يک,capital
27010001,حقوق و امتیازات,750000000,01 منطقه يک,capital
2701000101,حقوق و امتیازات,750000000,01 منطقه يک,capital
2103000101,ساماندهی آبنماها و مرمت المان ها و نمادها,600000000,02 منطقه دو,capital
21030002,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,1750000000,02 منطقه دو,capital
2103000201,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,1750000000,02 منطقه دو,capital
21030004,نصب پلاک‌های شهرداری و شماره‌گذاری معابر,4150000000,02 منطقه دو,capital
2103000401,نصب پلاک‌های شهرداری و شماره‌گذاری معابر,4150000000,02 منطقه دو,capital
21030008,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,23500000000,02 منطقه دو,capital
2103000801,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,23500000000,02 منطقه دو,capital
21030009,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,02 منطقه دو,capital
2103000901,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,02 منطقه دو,capital
2103001004,تجهیز حسینیه‌ها جهت بهره‌برداری ورزشی تفریحی,12000000000,02 منطقه دو,capital
2103001502,نگهداری تاسیسات ساختمان های شهرداری,3100000000,02 منطقه دو,capital
2103001602,احداث مجموعه بازی پارک بابوکان,0,02 منطقه دو,capital
2103001603,خرید و نصب کف پوش پارک کیان پارس,0,02 منطقه دو,capital
2103001604,احداث مجموعه بازی پارک حکیم صفایی,0,02 منطقه دو,capital
21030018,خرید پساب,3000000000,02 منطقه دو,capital
2103001801,خرید پساب,3000000000,02 منطقه دو,capital
21030019,حفر، لایروبی کف‌شکنی و تجهیز چاه فضای سبز,15250000000,02 منطقه دو,capital
2103001901,حفر، لایروبی کف‌شکنی و تجهیز چاه فضای سبز,15250000000,02 منطقه دو,capital
21030020,شبکه آبیاری و توزیع آب,67248000000,02 منطقه دو,capital
2103002001,شبکه آبیاری و توزیع آب,3000000000,02 منطقه دو,capital
2103002023,فیلتراسیون بختیاردشت,20700000000,02 منطقه دو,capital
21030021,ساماندهی پارک و قطعات فضای سبز,21400000000,02 منطقه دو,capital
2103002101,ساماندهی پارک و قطعات فضای سبز,6200000000,02 منطقه دو,capital
2103002102,ساماندهی پارک قلمستان,4000000000,02 منطقه دو,capital
2103002103,ساماندهی پارک مهر,0,02 منطقه دو,capital
2103002104,ساماندهی پارک بابوکان,2500000000,02 منطقه دو,capital
2103002105,ساماندهی پارک ترافیک,1000000000,02 منطقه دو,capital
2103002106,ساماندهی فضای سبز خیابان امام خمینی (ره),3800000000,02 منطقه دو,capital
2103002109,ساماندهی فضای سبز جنگل صد هكتاري,0,02 منطقه دو,capital
2103002110,ساماندهي فضای سبز جاده كوهستان,0,02 منطقه دو,capital
2103002111,ساماندهي فضای سبز كندرو شهيد خرازي,0,02 منطقه دو,capital
21030025,تعمیر و نگهداری معابر و ابنیه شهری,20000000000,02 منطقه دو,capital
2103002501,تعمیر و نگهداری معابر و ابنیه شهری,10000000000,02 منطقه دو,capital
21030027,مبلمان ایستگاه اتوبوس شهری,6950000000,02 منطقه دو,capital
2103002701,مبلمان ایستگاه اتوبوس شهری,6950000000,02 منطقه دو,capital
21030030,طرح‌های ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,16000000000,02 منطقه دو,capital
2103003001,طرح‌های ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,16000000000,02 منطقه دو,capital
21030031,نوسازی سازه های فرسوده راهنمای مسیر,9500000000,02 منطقه دو,capital
2103003101,نوسازی سازه های فرسوده راهنمای مسیر,9500000000,02 منطقه دو,capital
21030032,هوشمندسازی تقاطع ها,4130000000,02 منطقه دو,capital
2103003201,هوشمندسازی تقاطع ها,4130000000,02 منطقه دو,capital
21030033,نصب چراغ راهنمایی ترافیکی سطح منطقه,0,02 منطقه دو,capital
2103003301,نصب چراغ راهنمایی ترافیکی سطح منطقه,0,02 منطقه دو,capital
21030035,بند 14 و ماده 110 قانون شهرداری,4000000000,02 منطقه دو,capital
2103003501,بند 14 و ماده 110 قانون شهرداری,4000000000,02 منطقه دو,capital
21030036,حفر و تنقیه چاه‌های آب باران,5200000000,02 منطقه دو,capital
2103003601,حفر و تنقیه چاه‌های آب باران,5200000000,02 منطقه دو,capital
21030037,احداث آبراهه و کانیو,2000000000,02 منطقه دو,capital
2103003701,احداث آبراهه و کانیو,2000000000,02 منطقه دو,capital
21030039,واکاری درختان,12000000000,02 منطقه دو,capital
2103003901,واکاری درختان,12000000000,02 منطقه دو,capital
21030043,تهيه و نصب پلاك پستي_x000D_,30000000000,02 منطقه دو,capital
2103004301,تهيه و نصب پلاك پستي,30000000000,02 منطقه دو,capital
21030102,احداث خیابان زیر دکل برق  محدوده منطقه دو,0,02 منطقه دو,capital
2103010201,احداث خیابان زیر دکل برق  محدوده منطقه دو,0,02 منطقه دو,capital
21030103,تعریض بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهید آیت اله اشرفی اصفهانی,60000000000,02 منطقه دو,capital
2103010301,تعریض بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهید آیت اله اشرفی اصفهانی,60000000000,02 منطقه دو,capital
21030104,نصب نیوجرسی بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهیدآیت اله اشرفی اصفهانی,52000000000,02 منطقه دو,capital
2103010401,نصب نیوجرسی بزرگراه شهید خرازی حدفاصل پل خرازی تا پل آیت اله اشرفی اصفهانی,52000000000,02 منطقه دو,capital
21030105,تعریض ضلع غربی کندرو شهید خرازی حد فاصل ابتدای کندرو (بعد از پارک قلمستان) تا پل شهیدان احمدی,0,02 منطقه دو,capital
2103010501,تعریض ضلع غربی کندرو شهید خرازی حد فاصل ابتدای کندرو (بعد از پارک قلمستان) تا پل شهیدان احمدی,0,02 منطقه دو,capital
21030106,احداث خانه کودک و نوجوان,166000000000,02 منطقه دو,capital
2103010601,احداث خانه کودک و نوجوان,166000000000,02 منطقه دو,capital
21030107,احداث گذر و پارکینگ و محوطه سازی اطراف خانه کودک,0,02 منطقه دو,capital
2103010701,احداث گذر و پارکینگ و محوطه سازی اطراف خانه کودک,0,02 منطقه دو,capital
21030109,دوربرگردان اتصال بزرگراه شهید خرازی به کندرو بزرگراه شهید خرازی,0,02 منطقه دو,capital
2103010901,دوربرگردان اتصال بزرگراه شهید خرازی به کندرو بزرگراه شهید خرازی,0,02 منطقه دو,capital
21030110,آسفالت حلقه سوم ترافیکی,0,02 منطقه دو,capital
2103011001,آسفالت حلقه سوم ترافیکی,0,02 منطقه دو,capital
21030111,احداث ادامه خیابان ولی عصر دهنو,40000000000,02 منطقه دو,capital
2103011101,احداث ادامه خیابان ولی عصر دهنو,40000000000,02 منطقه دو,capital
2103024602,پیاده رو سازی ضلع شمالی و جنوبی خیابان صمدیه لباف حد فاصل بزرگراه شهید خرازی تا چهار راه شهید رضایی,40000000000,02 منطقه دو,capital
2103024606,احداث محوطه چند منظوره ابتدای مادی شمس آباد,3000000000,02 منطقه دو,capital
2103024607,بهسازی تاسیسات ساختمان منطقه,30000000000,02 منطقه دو,capital
2103024608,نرده گذاری بخشی از بزرگراه امام خمینی (ره)، حدفاصل خیابان بسیج تا میدان استقلال,4000000000,02 منطقه دو,capital
2103024610,پیاده رو سازی خیابان امام خمینی (ره) حدفاصل خیابان ام البنین تا خیابان کیان پارس,50000000000,02 منطقه دو,capital
2103024611,تملك و بازگشایی گلوگاه خیابان آیت اله مدرس نجفی,60000000000,02 منطقه دو,capital
2103024612,یادمان شهید گمنام پارک قلمستان,7000000000,02 منطقه دو,capital
2103024618,افزایش ارتفاع نرده های کندرو بزرگراه شهید خرازی,0,02 منطقه دو,capital
2103024623,ارتقا کیفی پارک مشکین,0,02 منطقه دو,capital
2103024625,خیابان مادی شمس آباد (حد فاصل سرچشمه تا خیابان شهیدان غربی),0,02 منطقه دو,capital
2103024626,احداث فضای سبز جنب مادی شمس آباد,0,02 منطقه دو,capital
2103024627,احداث محوطه بازی موضوعی کودکان بوستان رسالت,0,02 منطقه دو,capital
2103024631,احداث و تجهیز گلخانه فضای سبز منطقه 2,20000000000,02 منطقه دو,capital
2103024632,خرید (تعویض) ایستگاههای سیار بازیافت - پارک قلمستان,0,02 منطقه دو,capital
2103024633,تملك و بازگشايي گلوگاه و روان بخشی بافت محلات,70000000000,02 منطقه دو,capital
2103024634,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر فرعی سطح منطقه,0,02 منطقه دو,capital
2103024635,بازسازی ایستگاه آتش نشانی شماره 2,0,02 منطقه دو,capital
2103024640,احداث جایگاه شارژ خودرو برقی,0,02 منطقه دو,capital
2103024702,آسفالت معابر فرعی سطح محله دهنو,20000000000,02 منطقه دو,capital
2103024703,تملک  پارک محله دهنو,10000000000,02 منطقه دو,capital
2103024709,احداث  زمین ورزشی روباز محله دهنو,10000000000,02 منطقه دو,capital
2103024710,احداث سرویس بهداشتی گلزار شهدای بابوکان,0,02 منطقه دو,capital
2103024711,احداث محوطه چند منظوره خیابان شهید صمدیه ابتدای مادی قمیش جاوان,8000000000,02 منطقه دو,capital
2103024713,آسفالت معابر فرعی سطح محله ولدان,20000000000,02 منطقه دو,capital
2103024716,احداث محوطه چند منظوره ورودی محله جاوان,5050000000,02 منطقه دو,capital
2103024719,تملک و توسعه پارک شهدای جاوان,50000000000,02 منطقه دو,capital
2103024720,آسفالت معابر فرعی جاوان,67450000000,02 منطقه دو,capital
2103024722,ساماندهی مادی دستگرده جاوان ( با تاکید بر افزایش نفوذپذیری بستر),5500000000,02 منطقه دو,capital
2103024724,ساماندهی مادی لاله محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),6000000000,02 منطقه دو,capital
2103024725,تملک زمین ورزشی روباز محله دهنو,80000000000,02 منطقه دو,capital
2103024728,احداث فرهنگسرای بابوکان,70000000000,02 منطقه دو,capital
2103024730,احداث محوطه چند منظوره  پارک مهر,0,02 منطقه دو,capital
2103024732,احداث خیابان شهید عطایی بابوکان,0,02 منطقه دو,capital
2103024733,ساماندهی مادی قمیش محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),22000000000,02 منطقه دو,capital
2103024735,ساماندهی مادی شمس آباد ( با تاکید بر افزایش نفوذپذیری بستر),0,02 منطقه دو,capital
2103024736,پیاده رو سازی کندرو بزرگراه شهید خرازی,0,02 منطقه دو,capital
2103024737,تملك و بازگشايی گلوگاه های بافت محله آفاران,0,02 منطقه دو,capital
2103024739,پیاده راه سازی خیابان روبروی ساختمان شهرداری منطقه 2,0,02 منطقه دو,capital
2103024743,ساماندهی باند شمالی خیابان مادی شمس آباد ولدان,30000000000,02 منطقه دو,capital
2103024746,ساماندهی مادی فردوان در محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),7000000000,02 منطقه دو,capital
2103024748,تملك و بازگشايي گلوگاه محله جاوان,18000000000,02 منطقه دو,capital
21040101,مشارکت در تملک یا احداث طرح چشمه های نورانی,100000000000,02 منطقه دو,capital
2104010101,مشارکت در تملک یا احداث طرح چشمه های نورانی,70000000000,02 منطقه دو,capital
2104010102,احداث فانوس نورانی پارک کیان پارس,30000000000,02 منطقه دو,capital
21040102,مشارکت در احداث پارکینگ مکانیزه میدان جمهوری اسلامی,0,02 منطقه دو,capital
2104010201,مشارکت در احداث پارکینگ مکانیزه میدان جمهوری اسلامی,0,02 منطقه دو,capital
21040103,مشارکت در احداث  مجموعه ورزشی شهید صمدیه لباف (غرب اصفهان),0,02 منطقه دو,capital
2104010301,مشارکت در احداث  مجموعه ورزشی شهید صمدیه لباف (غرب اصفهان),0,02 منطقه دو,capital
22010001,خرید ماشین آلات و وسایل نقلیه,2000000000,02 منطقه دو,capital
2201000101,خرید ماشین آلات و وسایل نقلیه,2000000000,02 منطقه دو,capital
22020002,تجهیزات اداری,1300000000,02 منطقه دو,capital
2202000201,تجهیزات اداری,1300000000,02 منطقه دو,capital
22020003,تجهیزات رایانه ای,7030000000,02 منطقه دو,capital
2202000301,تجهیزات رایانه ای,7030000000,02 منطقه دو,capital
22030001,تجهیزات حفاظتی، ارتباطی و بی سیم,500000000,02 منطقه دو,capital
2203000101,تجهیزات حفاظتی، ارتباطی و بی سیم,500000000,02 منطقه دو,capital
22090001,لوازم فنی و تجهیزات,4410000000,02 منطقه دو,capital
2209000101,لوازم فنی و تجهیزات,3100000000,02 منطقه دو,capital
2209000105,تجهیزات پایگاه پشتیبانی و مدیریت بحران,1310000000,02 منطقه دو,capital
23010102,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,0,02 منطقه دو,capital
2301010201,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,0,02 منطقه دو,capital
26010101,تملک زورخانه خیابان صمدیه لباف,10000000000,02 منطقه دو,capital
2601010101,تملک زورخانه خیابان صمدیه لباف,10000000000,02 منطقه دو,capital
