budget_code,description,approved_amount,budget_type
22020003,تجهیزات رایانه ای,8640000000,capital
2202000301,تجهیزات رایانه ای,8640000000,capital
22030001,تجهیزات حفاظتی، ارتباطی و بی سیم,430000000,capital
2203000101,تجهیزات حفاظتی، ارتباطی و بی سیم,430000000,capital
22090001,لوازم فنی و تجهیزات,10680000000,capital
2209000101,لوازم فنی و تجهیزات,8000000000,capital
2209000105,تجهیزات پایگاه پشتیبانی و مدیریت بحران,2680000000,capital
23010102,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,200000000000,capital
2301010201,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,200000000000,capital
26010110,تملک تجاری های ابتدای خیابان شهید کلاهدوزان,60000000000,capital
2601011001,تملک تجاری های ابتدای خیابان شهید کلاهدوزان,60000000000,capital
26010111,تملک قطارشهری,200000000000,capital
2601011101,تملک قطارشهری,200000000000,capital
26010115,تملک ادامه خیابان آیت الله زاهد-حدفاصل خیابان مسجد سید تا فروغی,650000000000,capital
2601011501,تملک ادامه خیابان آیت الله زاهد حدفاصل خیابان مسجد سید تا فروغی,650000000000,capital
27010001,حقوق و امتیازات,750000000,capital
2701000101,حقوق و امتیازات,750000000,capital
2103000101,ساماندهی آبنماها و مرمت المان ها و نمادها,600000000,capital
21030002,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,1750000000,capital
2103000201,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,1750000000,capital
21030004,نصب پلاکهای شهرداری و شمارهگذاری معابر,4150000000,capital
2103000401,نصب پلاکهای شهرداری و شمارهگذاری معابر,4150000000,capital
21030008,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,23500000000,capital
2103000801,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,23500000000,capital
21030009,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103000901,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103001004,تجهیز حسینیهها جهت بهرهبرداری ورزشی تفریحی,12000000000,capital
2103001502,نگهداری تاسیسات ساختمان های شهرداری,3100000000,capital
2103001602,احداث مجموعه بازی پارک بابوکان,0,capital
2103001603,خرید و نصب کف پوش پارک کیان پارس,0,capital
2103001604,احداث مجموعه بازی پارک حکیم صفایی,0,capital
21030018,خرید پساب,3000000000,capital
2103001801,خرید پساب,3000000000,capital
21030019,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,15250000000,capital
2103001901,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,15250000000,capital
21030020,شبکه آبیاری و توزیع آب,67248000000,capital
2103002001,شبکه آبیاری و توزیع آب,3000000000,capital
2103002023,فیلتراسیون بختیاردشت,20700000000,capital
21030021,ساماندهی پارک و قطعات فضای سبز,21400000000,capital
2103002101,ساماندهی پارک و قطعات فضای سبز,6200000000,capital
2103002102,ساماندهی پارک قلمستان,4000000000,capital
2103002103,ساماندهی پارک مهر,0,capital
2103002104,ساماندهی پارک بابوکان,2500000000,capital
2103002105,ساماندهی پارک ترافیک,1000000000,capital
2103002106,ساماندهی فضای سبز خیابان امام خمینی (ره),3800000000,capital
2103002109,ساماندهی فضای سبز جنگل صد هکتاری,0,capital
2103002110,ساماندهی فضای سبز جاده کوهستان,0,capital
2103002111,ساماندهی فضای سبز کندرو شهید خرازی,0,capital
21030025,تعمیر و نگهداری معابر و ابنیه شهری,20000000000,capital
2103002501,تعمیر و نگهداری معابر و ابنیه شهری,10000000000,capital
21030027,مبلمان ایستگاه اتوبوس شهری,6950000000,capital
2103002701,مبلمان ایستگاه اتوبوس شهری,6950000000,capital
21030030,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,16000000000,capital
2103003001,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,16000000000,capital
21030031,نوسازی سازه های فرسوده راهنمای مسیر,9500000000,capital
2103003101,نوسازی سازه های فرسوده راهنمای مسیر,9500000000,capital
21030032,هوشمندسازی تقاطع ها,4130000000,capital
2103003201,هوشمندسازی تقاطع ها,4130000000,capital
21030033,نصب چراغ راهنمایی ترافیکی سطح منطقه,0,capital
2103003301,نصب چراغ راهنمایی ترافیکی سطح منطقه,0,capital
21030035,بند 14 و ماده 110 قانون شهرداری,4000000000,capital
2103003501,بند 14 و ماده 110 قانون شهرداری,4000000000,capital
21030036,حفر و تنقیه چاههای آب باران,5200000000,capital
2103003601,حفر و تنقیه چاههای آب باران,5200000000,capital
21030037,احداث آبراهه و کانیو,2000000000,capital
2103003701,احداث آبراهه و کانیو,2000000000,capital
21030039,واکاری درختان,12000000000,capital
2103003901,واکاری درختان,12000000000,capital
21030043,تهیه و نصب پلاک پستی_x000D_,30000000000,capital
2103004301,تهیه و نصب پلاک پستی,30000000000,capital
21030102,احداث خیابان زیر دکل برق محدوده منطقه دو,0,capital
2103010201,احداث خیابان زیر دکل برق محدوده منطقه دو,0,capital
21030103,تعریض بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهید آیت اله اشرفی اصفهانی,60000000000,capital
2103010301,تعریض بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهید آیت اله اشرفی اصفهانی,60000000000,capital
21030104,نصب نیوجرسی بزرگراه شهید خرازی حدفاصل پل خرازی تا پل شهیدآیت اله اشرفی اصفهانی,52000000000,capital
2103010401,نصب نیوجرسی بزرگراه شهید خرازی حدفاصل پل خرازی تا پل آیت اله اشرفی اصفهانی,52000000000,capital
21030105,تعریض ضلع غربی کندرو شهید خرازی حد فاصل ابتدای کندرو (بعد از پارک قلمستان) تا پل شهیدان احمدی,0,capital
2103010501,تعریض ضلع غربی کندرو شهید خرازی حد فاصل ابتدای کندرو (بعد از پارک قلمستان) تا پل شهیدان احمدی,0,capital
21030106,احداث خانه کودک و نوجوان,166000000000,capital
2103010601,احداث خانه کودک و نوجوان,166000000000,capital
21030107,احداث گذر و پارکینگ و محوطه سازی اطراف خانه کودک,0,capital
2103010701,احداث گذر و پارکینگ و محوطه سازی اطراف خانه کودک,0,capital
21030109,دوربرگردان اتصال بزرگراه شهید خرازی به کندرو بزرگراه شهید خرازی,0,capital
2103010901,دوربرگردان اتصال بزرگراه شهید خرازی به کندرو بزرگراه شهید خرازی,0,capital
21030110,آسفالت حلقه سوم ترافیکی,0,capital
2103011001,آسفالت حلقه سوم ترافیکی,0,capital
21030111,احداث ادامه خیابان ولی عصر دهنو,40000000000,capital
2103011101,احداث ادامه خیابان ولی عصر دهنو,40000000000,capital
2103024602,پیاده رو سازی ضلع شمالی و جنوبی خیابان صمدیه لباف حد فاصل بزرگراه شهید خرازی تا چهار راه شهید رضایی,40000000000,capital
2103024606,احداث محوطه چند منظوره ابتدای مادی شمس آباد,3000000000,capital
2103024607,بهسازی تاسیسات ساختمان منطقه,30000000000,capital
2103024608,نرده گذاری بخشی از بزرگراه امام خمینی (ره)، حدفاصل خیابان بسیج تا میدان استقلال,4000000000,capital
2103024610,پیاده رو سازی خیابان امام خمینی (ره) حدفاصل خیابان ام البنین تا خیابان کیان پارس,50000000000,capital
2103024611,تملک و بازگشایی گلوگاه خیابان آیت اله مدرس نجفی,60000000000,capital
2103024612,یادمان شهید گمنام پارک قلمستان,7000000000,capital
2103024618,افزایش ارتفاع نرده های کندرو بزرگراه شهید خرازی,0,capital
2103024623,ارتقا کیفی پارک مشکین,0,capital
2103024625,خیابان مادی شمس آباد (حد فاصل سرچشمه تا خیابان شهیدان غربی),0,capital
2103024626,احداث فضای سبز جنب مادی شمس آباد,0,capital
2103024627,احداث محوطه بازی موضوعی کودکان بوستان رسالت,0,capital
2103024631,احداث و تجهیز گلخانه فضای سبز منطقه 2,20000000000,capital
2103024632,خرید (تعویض) ایستگاههای سیار بازیافت - پارک قلمستان,0,capital
2103024633,تملک و بازگشایی گلوگاه و روان بخشی بافت محلات,70000000000,capital
2103024634,احداث چاه جذبی و کانال دفع آبهای سطحی و کانیو معابر فرعی سطح منطقه,0,capital
2103024635,بازسازی ایستگاه آتش نشانی شماره 2,0,capital
2103024640,احداث جایگاه شارژ خودرو برقی,0,capital
2103024702,آسفالت معابر فرعی سطح محله دهنو,20000000000,capital
2103024703,تملک پارک محله دهنو,10000000000,capital
2103024709,احداث زمین ورزشی روباز محله دهنو,10000000000,capital
2103024710,احداث سرویس بهداشتی گلزار شهدای بابوکان,0,capital
2103024711,احداث محوطه چند منظوره خیابان شهید صمدیه ابتدای مادی قمیش جاوان,8000000000,capital
2103024713,آسفالت معابر فرعی سطح محله ولدان,20000000000,capital
2103024716,احداث محوطه چند منظوره ورودی محله جاوان,5050000000,capital
2103024719,تملک و توسعه پارک شهدای جاوان,50000000000,capital
2103024720,آسفالت معابر فرعی جاوان,67450000000,capital
2103024722,ساماندهی مادی دستگرده جاوان ( با تاکید بر افزایش نفوذپذیری بستر),5500000000,capital
2103024724,ساماندهی مادی لاله محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),6000000000,capital
2103024725,تملک زمین ورزشی روباز محله دهنو,80000000000,capital
2103024728,احداث فرهنگسرای بابوکان,70000000000,capital
2103024730,احداث محوطه چند منظوره پارک مهر,0,capital
2103024732,احداث خیابان شهید عطایی بابوکان,0,capital
2103024733,ساماندهی مادی قمیش محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),22000000000,capital
2103024735,ساماندهی مادی شمس آباد ( با تاکید بر افزایش نفوذپذیری بستر),0,capital
2103024736,پیاده رو سازی کندرو بزرگراه شهید خرازی,0,capital
2103024737,تملک و بازگشایی گلوگاه های بافت محله آفاران,0,capital
2103024739,پیاده راه سازی خیابان روبروی ساختمان شهرداری منطقه 2,0,capital
2103024743,ساماندهی باند شمالی خیابان مادی شمس آباد ولدان,30000000000,capital
2103024746,ساماندهی مادی فردوان در محله جاوان ( با تاکید بر افزایش نفوذپذیری بستر),7000000000,capital
2103024748,تملک و بازگشایی گلوگاه محله جاوان,18000000000,capital
21040101,مشارکت در تملک یا احداث طرح چشمه های نورانی,100000000000,capital
2104010101,مشارکت در تملک یا احداث طرح چشمه های نورانی,70000000000,capital
2104010102,احداث فانوس نورانی پارک کیان پارس,30000000000,capital
21040102,مشارکت در احداث پارکینگ مکانیزه میدان جمهوری اسلامی,0,capital
2104010201,مشارکت در احداث پارکینگ مکانیزه میدان جمهوری اسلامی,0,capital
21040103,مشارکت در احداث مجموعه ورزشی شهید صمدیه لباف (غرب اصفهان),0,capital
2104010301,مشارکت در احداث مجموعه ورزشی شهید صمدیه لباف (غرب اصفهان),0,capital
22010001,خرید ماشین آلات و وسایل نقلیه,2000000000,capital
2201000101,خرید ماشین آلات و وسایل نقلیه,2000000000,capital
22020002,تجهیزات اداری,1300000000,capital
2202000201,تجهیزات اداری,1300000000,capital
22020003,تجهیزات رایانه ای,7030000000,capital
2202000301,تجهیزات رایانه ای,7030000000,capital
22030001,تجهیزات حفاظتی، ارتباطی و بی سیم,500000000,capital
2203000101,تجهیزات حفاظتی، ارتباطی و بی سیم,500000000,capital
22090001,لوازم فنی و تجهیزات,4410000000,capital
2209000101,لوازم فنی و تجهیزات,3100000000,capital
2209000105,تجهیزات پایگاه پشتیبانی و مدیریت بحران,1310000000,capital
23010102,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,0,capital
2301010201,توسعه زیرساخت های شهرهوشمند- شبکه و ارتباطات,0,capital
26010101,تملک زورخانه خیابان صمدیه لباف,10000000000,capital
2601010101,تملک زورخانه خیابان صمدیه لباف,10000000000,capital
26010103,تملک خیابان زیر دکل برق در محدوده منطقه 2,100000000000,capital
2601010301,تملک خیابان زیر دکل برق در محدوده منطقه 2,100000000000,capital
26010104,تملک پایانه صمدیه,125000000000,capital
2601010401,تملک پایانه صمدیه,125000000000,capital
26010105,تملک خیابان کمکی امام خمینی (ره)-حد فاصل انتهای خیابان بابک تا محله مشکین,110000000000,capital
2601010501,تملک خیابان کمکی امام خمینی (ره)-حد فاصل انتهای خیابان بابک تا محله مشکین,110000000000,capital
26010106,تملک خیابان شهید عطایی بابوکان,170000000000,capital
2601010601,تملک خیابان شهید عطایی بابوکان,170000000000,capital
26010108,تملک فضای سبز بین النهرین - شمس آباد,0,capital
2601010801,تملک فضای سبز بین النهرین - شمس آباد,0,capital
27010001,حقوق و امتیازات,250000000,capital
2701000101,حقوق و امتیازات,250000000,capital
2103000101,ساماندهی آبنماها و مرمت المان ها و نمادها,2630000000,capital
21030002,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,7250000000,capital
2103000201,اقدامات اصلاحی ناشی از ممیزی انرژی در تاسیسات و تجهیزات,7250000000,capital
21030004,نصب پلاکهای شهرداری و شمارهگذاری معابر,7100000000,capital
2103000401,نصب پلاکهای شهرداری و شمارهگذاری معابر,7100000000,capital
2103000606,احداث شبکه روشنایی بوستان حبیب,0,capital
2103000608,احداث شبکه روشنایی بوستان پنج شنبه ها,0,capital
2103000610,احداث شبکه روشنایی خیابان مشتاق از بلوار خواجو,0,capital
21030008,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,14000000000,capital
2103000801,حذف گونه های گیاهی پرنیاز آب و جایگزینی با گونه های مناسب,14000000000,capital
21030009,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103000901,نصب نقشه خطوط و برنامه زمانبندی اتوبوس ها,100000000,capital
2103001004,تجهیز حسینیهها جهت بهرهبرداری ورزشی تفریحی,12000000000,capital
2103001502,نگهداری تاسیسات ساختمان های شهرداری,12200000000,capital
2103001603,تعویض مجموعه طنابی پارک مشتاق و شهیدرجایی,4000000000,capital
2103001604,احداث مجموعه بازی پارک مدرس,0,capital
2103001605,احداث مجموعه بازی پارک لت فر 1و2,0,capital
2103001606,احداث مجموعه بازی پارک راران,0,capital
2103001607,خرید و نصب کف پوش پارک هزارجریب سایت کشتی,0,capital
21030018,خرید پساب,0,capital
2103001801,خرید پساب,0,capital
21030019,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,13500000000,capital
2103001901,حفر، لایروبی کفشکنی و تجهیز چاه فضای سبز,13500000000,capital
21030020,شبکه آبیاری و توزیع آب,41356000000,capital
2103002001,شبکه آبیاری و توزیع آب,195000000,capital
21030021,ساماندهی پارک و قطعات فضای سبز,66900000000,capital
2103002101,ساماندهی پارک و قطعات فضای سبز,29400000000,capital
2103002103,ساماندهی پارک توحید خانه,0,capital
2103002106,ساماندهی فضای سبز مادی خراسانی,0,capital
2103002107,ساماندهی فضای سبز میدان امام (ره),0,capital
2103002120,ساماندهی فضای سبز چهارباغ عباسی,17700000000,capital
2103002123,ساماندهی پارک هشت بهشت (شهیدرجایی),9800000000,capital
21030025,تعمیر و نگهداری معابر و ابنیه شهری,37000000000,capital
2103002501,تعمیر و نگهداری معابر و ابنیه شهری,29000000000,capital
21030027,مبلمان ایستگاه اتوبوس شهری,6950000000,capital
2103002701,مبلمان ایستگاه اتوبوس شهری,6950000000,capital
2103002804,تملک و بازگشایی گلوگاه های ترافیکی محلات سطح منطقه,0,capital
2103002805,نماسازی مسجد قمر بنی هاشم (ع),0,capital
2103002806,ساماندهی جداره های پیرامون مسجد جامع,0,capital
21030030,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,30000000000,capital
2103003001,طرحهای ترافیکی تابلوهای انتظامی، اطلاعاتی و راهنمای مسیر,30000000000,capital
21030031,نوسازی سازه های فرسوده راهنمای مسیر,2500000000,capital
2103003101,نوسازی سازه های فرسوده راهنمای مسیر,2500000000,capital
21030032,هوشمندسازی تقاطع ها,9230000000,capital
2103003201,هوشمندسازی تقاطع ها,9230000000,capital
21030033,نصب چراغ راهنمایی ترافیکی سطح منطقه,2000000000,capital
2103003301,نصب چراغ راهنمایی ترافیکی سطح منطقه,2000000000,capital
21030035,بند 14 و ماده 110 قانون شهرداری,11000000000,capital
2103003501,بند 14 و ماده 110 قانون شهرداری,11000000000,capital
21030036,حفر و تنقیه چاههای آب باران,9000000000,capital
2103003601,حفر و تنقیه چاههای آب باران,9000000000,capital
21030037,احداث آبراهه و کانیو,4300000000,capital
2103003701,احداث آبراهه و کانیو,4300000000,capital
21030039,واکاری درختان,7000000000,capital
2103003901,واکاری درختان,7000000000,capital
21030043,تهیه و نصب پلاک پستی_x000D_,60000000000,capital
2103004301,تهیه و نصب پلاک پستی,60000000000,capital
21030101,گذر صنایع دستی,10000000000,capital
2103010101,گذر صنایع دستی,10000000000,capital
21030103,تکمیل محور تاریخی –گردشگری چهار باغ عباسی (حدفاصل مادی نیاصرم تا سی و سه پل),150000000000,capital
2103010301,تکمیل محور تاریخی –گردشگری چهار باغ عباسی (حدفاصل مادی نیاصرم تا سی و سه پل),150000000000,capital
21030105,تکمیل مرمت پهنه تاریخی جنوب و شرق میدان امام(ره),0,capital
